Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,<2013,2013,2014,2015,2016,2017,subtotal,>2017,total
2015,Diversification of sterol methyltransferase enzymes in plants and a role for β-sitosterol in oriented cell plate formation and polarized growth,"Nakamoto M., Schmit A.-C., Heintz D., Schaller H., Ohta D.",9607412,Plant Journal,84,5,0,0,0,0,0,0,0,0,0
2015,"SNAC-As, stress-responsive NAC transcription factors, mediate ABA-inducible leaf senescence","Takasaki H., Maruyama K., Takahashi F., Fujita M., Yoshida T., Nakashima K., Myouga F., Toyooka K., Yamaguchi-Shinozaki K., Shinozaki K.",9607412,Plant Journal,84,6,0,0,0,0,10,9,19,0,19
2015,Genome-wide analysis on Chlamydomonas reinhardtii reveals the impact of hydrogen peroxide on protein stress responses and overlap with other stress transcriptomes,"Blaby I.K., Blaby-Haas C.E., Perez-Perez M.E., Schmollinger S., Fitz-Gibbon S., Lemaire S.D., Merchant S.S.",9607412,Plant Journal,84,5,0,0,0,0,0,2,2,0,2
2015,The Agrobacterium tumefaciens virulence protein VirE3 is a transcriptional activator of the F-box gene VBF,"Niu X., Zhou M., Henkel C.V., Van Heusden G.P.H., Hooykaas P.J.J.",9607412,Plant Journal,84,5,0,0,0,0,0,0,0,0,0
2015,Magnesium Transporter 5 plays an important role in Mg transport for male gametophyte development in Arabidopsis,"Xu X.-F., Wang B., Lou Y., Han W.-J., Lu J.-Y., Li D.-D., Li L.-G., Zhu J., Yang Z.-N.",9607412,Plant Journal,84,5,0,0,0,0,2,1,3,0,3
2015,Histone acetyltransferase GCN5 is essential for heat stress-responsive gene activation and thermotolerance in Arabidopsis,"Hu Z., Song N., Zheng M., Liu X., Liu Z., Xing J., Ma J., Guo W., Yao Y., Peng H., Xin M., Zhou D.-X., Ni Z., Sun Q.",9607412,Plant Journal,84,6,0,0,0,0,3,3,6,0,6
2015,Genome-wide association and epistasis studies unravel the genetic architecture of sudden death syndrome resistance in soybean,"Zhang J., Singh A., Mueller D.S., Singh A.K.",9607412,Plant Journal,84,6,0,0,0,0,4,3,7,0,7
2015,RopGEF2 is involved in ABA-suppression of seed germination and post-germination growth of Arabidopsis,"Zhao S., Wu Y., He Y., Wang Y., Xiao J., Li L., Wang Y., Chen X., Xiong W., Wu Y.",9607412,Plant Journal,84,5,0,0,0,0,2,0,2,0,2
2015,Cucumber metal tolerance protein CsMTP9 is a plasma membrane H<sup>+</sup>-coupled antiporter involved in the Mn<sup>2+</sup> and Cd<sup>2+</sup> efflux from root cells,"Migocka M., Papierniak A., Kosieradzka A., Posyniak E., MacIaszczyk-Dziubinska E., Biskup R., Garbiec A., Marchewka T.",9607412,Plant Journal,84,6,0,0,0,0,2,2,4,0,4
2015,Chloroplastic thioredoxin m functions as a major regulator of Calvin cycle enzymes during photosynthesis in vivo,"Okegawa Y., Motohashi K.",9607412,Plant Journal,84,5,0,0,0,0,6,3,9,0,9
